n,x,y,radius
2.570000000000000000e+02,1.327277597022626932e+00,-3.715352213535624282e-01,1.378297587701726945e+00
2.580000000000000000e+02,1.308700835954948793e+00,-4.378991012046937747e-01,1.380019384235257940e+00
2.590000000000000000e+02,1.286805880894714038e+00,-5.033341430024411700e-01,1.381743331670981068e+00
2.600000000000000000e+02,1.261639173744592002e+00,-5.676744370471769052e-01,1.383469432695846102e+00
2.610000000000000000e+02,1.233255451892233179e+00,-6.307563957344064498e-01,1.385197690000158577e+00
2.620000000000000000e+02,1.201717632105512745e+00,-6.924191683290180643e-01,1.386928106277585560e+00
2.630000000000000000e+02,1.167096673689061781e+00,-7.525050499342936794e-01,1.388660684225158759e+00
2.640000000000000000e+02,1.129471421192347114e+00,-8.108598836187467240e-01,1.390395426543279411e+00
2.650000000000000000e+02,1.088928427011409683e+00,-8.673334546783640908e-01,1.392132335935721610e+00
2.660000000000000000e+02,1.045561754277491540e+00,-9.217798760289346305e-01,1.393871415109637635e+00
2.670000000000000000e+02,9.994727604760448303e-01,-9.740579637428091742e-01,1.395612666775561062e+00
2.680000000000000000e+02,9.507698622889043660e-01,-1.024031601766611344e+00,1.397356093647411646e+00
2.690000000000000000e+02,8.995682822005738322e-01,-1.071570094881056479e+00,1.399101698442499764e+00
2.700000000000000000e+02,8.459897774565210415e-01,-1.116548508991085153e+00,1.400849483881530189e+00
2.710000000000000000e+02,7.901623520069668283e-01,-1.158847997863911239e+00,1.402599452688606085e+00
2.720000000000000000e+02,7.322199521137712219e-01,-1.198356115464259686e+00,1.404351607591234119e+00
2.730000000000000000e+02,6.723021463405582931e-01,-1.234967113069948219e+00,1.406105951320327563e+00
2.740000000000000000e+02,6.105537906870608378e-01,-1.268582220386976100e+00,1.407862486610212072e+00
2.750000000000000000e+02,5.471246796677120550e-01,-1.299109909921329242e+00,1.409621216198628568e+00
2.760000000000000000e+02,4.821691841716455595e-01,-1.326466143904714734e+00,1.411382142826737685e+00
2.770000000000000000e+02,4.158458769764098450e-01,-1.350574603113297023e+00,1.413145269239125090e+00
2.780000000000000000e+02,3.483171468207449939e-01,-1.371366896962117554e+00,1.414910598183804380e+00
2.790000000000000000e+02,2.797488019726391273e-01,-1.388782754303154787e+00,1.416678132412222846e+00
2.800000000000000000e+02,2.103096642574813768e-01,-1.402770194401786741e+00,1.418447874679264142e+00
2.810000000000000000e+02,1.401711545373920398e-01,-1.413285677614660729e+00,1.420219827743253393e+00
2.820000000000000000e+02,6.950687065665900333e-02,-1.420294235341530431e+00,1.421993994365962299e+00
2.830000000000000000e+02,-1.507841110417518227e-03,-1.423769578874363395e+00,1.423770377312611579e+00
