n,x,y,radius
1.310000000000000000e+02,9.710454861387007863e-01,-2.644010935506478921e-01,1.006398168927748138e+00
1.320000000000000000e+02,9.578254314611683862e-01,-3.122923651237062836e-01,1.007450285854508909e+00
1.330000000000000000e+02,9.422108132049831219e-01,-3.594029057839554508e-01,1.008430297643990059e+00
1.340000000000000000e+02,9.242406679157852967e-01,-4.056149391797447268e-01,1.009328633852822454e+00
1.350000000000000000e+02,9.039599209567981131e-01,-4.508129352275846435e-01,1.010136545851466172e+00
1.360000000000000000e+02,8.814192741954188781e-01,-4.948838989373555708e-01,1.010846185307447076e+00
1.370000000000000000e+02,8.566750792485511301e-01,-5.377176528997831273e-01,1.011450673856892912e+00
1.380000000000000000e+02,8.297891966035619848e-01,-5.792071127299611710e-01,1.011944163596471880e+00
1.390000000000000000e+02,8.008288409670639707e-01,-6.192485547783144195e-01,1.012321888096707090e+00
1.400000000000000000e+02,7.698664132281483052e-01,-6.577418754397218459e-01,1.012580203699310122e+00
1.410000000000000000e+02,7.369793194561622407e-01,-6.945908414125299135e-01,1.012716620916352062e+00
1.420000000000000000e+02,7.022497773855357339e-01,-7.297033302818066725e-01,1.012729825798763583e+00
1.430000000000000000e+02,6.657646108714454503e-01,-7.629915608253790005e-01,1.012619691186950721e+00
1.440000000000000000e+02,6.276150328301765002e-01,-7.943723124668877755e-01,1.012387277798577623e+00
1.450000000000000000e+02,5.878964172068321670e-01,-8.237671333272293950e-01,1.012034825149209505e+00
1.460000000000000000e+02,5.467080605404707194e-01,-8.511025363542529254e-01,1.011565732341979551e+00
1.470000000000000000e+02,5.041529337227580454e-01,-8.763101830403908776e-01,1.010984528804247828e+00
1.480000000000000000e+02,4.603374245707385071e-01,-8.993270542689277836e-01,1.010296835093749790e+00
1.490000000000000000e+02,4.153710718572921068e-01,-9.200956078617923417e-01,1.009509313945362807e+00
1.500000000000000000e+02,3.693662914642024675e-01,-9.385639224350024179e-01,1.008629611783530500e+00
1.510000000000000000e+02,3.224380953424523244e-01,-9.546858272021250258e-01,1.007666290985599122e+00
1.520000000000000000e+02,2.747038039823460620e-01,-9.684210174012423122e-01,1.006628753248598906e+00
1.530000000000000000e+02,2.262827531122839353e-01,-9.797351550568564882e-01,1.005527154486818286e+00
1.540000000000000000e+02,1.772959953594410998e-01,-9.885999548248285418e-01,1.004372311769966997e+00
1.550000000000000000e+02,1.278659976181996671e-01,-9.949932547057385168e-01,1.003175602901513974e+00
1.560000000000000000e+02,7.811633488291273852e-02,-9.988990714498841017e-01,1.001948859333139819e+00
